"","crashYear","crashSever","regname","regid","taname","taid","crashcnt"
"223",2018,"Serious Crash","Hawke's Bay Region","06","Hastings District","030",34
"224",2018,"Serious Crash","Hawke's Bay Region","06","Napier City","031",21
"225",2018,"Serious Crash","Hawke's Bay Region","06","Rangitikei District","038",1
"226",2018,"Serious Crash","Hawke's Bay Region","06","Taupo District","021",2
"227",2018,"Serious Crash","Hawke's Bay Region","06","Wairoa District","029",12
"228",2018,"Serious Crash","Manawatū-Whanganui Region","08","Horowhenua District","042",23
"229",2018,"Serious Crash","Manawatū-Whanganui Region","08","Manawatu District","039",22
"230",2018,"Serious Crash","Manawatū-Whanganui Region","08","Palmerston North City","040",21
"231",2018,"Serious Crash","Manawatū-Whanganui Region","08","Rangitikei District","038",12
"232",2018,"Serious Crash","Manawatū-Whanganui Region","08","Ruapehu District","036",9
"233",2018,"Serious Crash","Manawatū-Whanganui Region","08","Stratford District","034",2
"234",2018,"Serious Crash","Manawatū-Whanganui Region","08","Tararua District","041",16
"235",2018,"Serious Crash","Manawatū-Whanganui Region","08","Whanganui District","037",14
"236",2018,"Serious Crash","Marlborough Region","18","Marlborough District","053",16
"237",2018,"Serious Crash","Nelson Region","17","Nelson City","052",10
"238",2018,"Serious Crash","Northland Region","01","Far North District","001",26
"239",2018,"Serious Crash","Northland Region","01","Kaipara District","003",19
"240",2018,"Serious Crash","Northland Region","01","Whangarei District","002",25
"241",2018,"Serious Crash","Otago Region","14","Central Otago District","069",10
"242",2018,"Serious Crash","Otago Region","14","Clutha District","072",18
"243",2018,"Serious Crash","Otago Region","14","Dunedin City","071",49
"244",2018,"Serious Crash","Otago Region","14","Queenstown-Lakes District","070",6
"245",2018,"Serious Crash","Otago Region","14","Waitaki District","068",8
"246",2018,"Serious Crash","Southland Region","15","Gore District","074",10
"247",2018,"Serious Crash","Southland Region","15","Invercargill City","075",19
"248",2018,"Serious Crash","Southland Region","15","Southland District","073",33
"249",2018,"Serious Crash","Taranaki Region","07","New Plymouth District","033",33
"250",2018,"Serious Crash","Taranaki Region","07","South Taranaki District","035",14
"251",2018,"Serious Crash","Taranaki Region","07","Stratford District","034",11
"252",2018,"Serious Crash","Tasman Region","16","Tasman District","051",32
"253",2018,"Serious Crash","Waikato Region","03","Hamilton City","016",34
"254",2018,"Serious Crash","Waikato Region","03","Hauraki District","012",14
"255",2018,"Serious Crash","Waikato Region","03","Matamata-Piako District","015",34
"256",2018,"Serious Crash","Waikato Region","03","Rotorua District","024",7
"257",2018,"Serious Crash","Waikato Region","03","South Waikato District","019",29
"258",2018,"Serious Crash","Waikato Region","03","Taupo District","021",16
"259",2018,"Serious Crash","Waikato Region","03","Thames-Coromandel District","011",11
"260",2018,"Serious Crash","Waikato Region","03","Waikato District","013",45
"261",2018,"Serious Crash","Waikato Region","03","Waipa District","017",16
"262",2018,"Serious Crash","Waikato Region","03","Waitomo District","020",20
"263",2018,"Serious Crash","Waikato Region","03","Ōtorohanga District","018",7
"264",2018,"Serious Crash","Wellington Region","09","Carterton District","049",2
"265",2018,"Serious Crash","Wellington Region","09","Kapiti Coast District","043",17
"266",2018,"Serious Crash","Wellington Region","09","Lower Hutt City","046",33
"267",2018,"Serious Crash","Wellington Region","09","Masterton District","048",13
"268",2018,"Serious Crash","Wellington Region","09","Porirua City","044",29
"269",2018,"Serious Crash","Wellington Region","09","South Wairarapa District","050",6
"270",2018,"Serious Crash","Wellington Region","09","Upper Hutt City","045",8
"271",2018,"Serious Crash","Wellington Region","09","Wellington City","047",53
"272",2018,"Serious Crash","West Coast Region","12","Buller District","055",10
"273",2018,"Serious Crash","West Coast Region","12","Grey District","056",6
"274",2018,"Serious Crash","West Coast Region","12","Westland District","057",3
"275",2019,"Fatal Crash","Auckland Region","02","Auckland","076",26
"276",2019,"Fatal Crash","Bay of Plenty Region","04","Rotorua District","024",2
"277",2019,"Fatal Crash","Bay of Plenty Region","04","Taupo District","021",1
"278",2019,"Fatal Crash","Bay of Plenty Region","04","Tauranga City","023",2
"279",2019,"Fatal Crash","Bay of Plenty Region","04","Western Bay of Plenty District","022",5
"280",2019,"Fatal Crash","Bay of Plenty Region","04","Whakatane District","025",7
"281",2019,"Fatal Crash","Bay of Plenty Region","04","Ōpōtiki District","027",5
"282",2019,"Fatal Crash","Canterbury Region","13","Ashburton District","063",6
"283",2019,"Fatal Crash","Canterbury Region","13","Christchurch City","060",4
"284",2019,"Fatal Crash","Canterbury Region","13","Hurunui District","058",2
"285",2019,"Fatal Crash","Canterbury Region","13","Kaikoura District","054",1
"286",2019,"Fatal Crash","Canterbury Region","13","Mackenzie District","065",1
"287",2019,"Fatal Crash","Canterbury Region","13","Selwyn District","062",6
"288",2019,"Fatal Crash","Canterbury Region","13","Timaru District","064",4
"289",2019,"Fatal Crash","Canterbury Region","13","Waimakariri District","059",1
"290",2019,"Fatal Crash","Canterbury Region","13","Waimate District","066",3
"291",2019,"Fatal Crash","Canterbury Region","13","Waitaki District","068",1
"292",2019,"Fatal Crash","Gisborne Region","05","Gisborne District","028",4
"293",2019,"Fatal Crash","Hawke's Bay Region","06","Central Hawke's Bay District","032",1
"294",2019,"Fatal Crash","Hawke's Bay Region","06","Hastings District","030",7
"295",2019,"Fatal Crash","Hawke's Bay Region","06","Napier City","031",2
"296",2019,"Fatal Crash","Hawke's Bay Region","06","Wairoa District","029",1
"297",2019,"Fatal Crash","Manawatū-Whanganui Region","08","Horowhenua District","042",3
"298",2019,"Fatal Crash","Manawatū-Whanganui Region","08","Manawatu District","039",2
"299",2019,"Fatal Crash","Manawatū-Whanganui Region","08","Rangitikei District","038",5
"300",2019,"Fatal Crash","Manawatū-Whanganui Region","08","Ruapehu District","036",1
"301",2019,"Fatal Crash","Manawatū-Whanganui Region","08","Tararua District","041",3
"302",2019,"Fatal Crash","Manawatū-Whanganui Region","08","Whanganui District","037",4
"303",2019,"Fatal Crash","Marlborough Region","18","Marlborough District","053",3
"304",2019,"Fatal Crash","Nelson Region","17","Nelson City","052",3
"305",2019,"Fatal Crash","Northland Region","01","Far North District","001",11
"306",2019,"Fatal Crash","Northland Region","01","Kaipara District","003",7
"307",2019,"Fatal Crash","Northland Region","01","Whangarei District","002",3
"308",2019,"Fatal Crash","Otago Region","14","Central Otago District","069",3
"309",2019,"Fatal Crash","Otago Region","14","Clutha District","072",1
"310",2019,"Fatal Crash","Otago Region","14","Dunedin City","071",3
"311",2019,"Fatal Crash","Otago Region","14","Queenstown-Lakes District","070",2
"312",2019,"Fatal Crash","Otago Region","14","Waitaki District","068",3
"313",2019,"Fatal Crash","Southland Region","15","Gore District","074",3
"314",2019,"Fatal Crash","Southland Region","15","Invercargill City","075",3
"315",2019,"Fatal Crash","Southland Region","15","Southland District","073",2
"316",2019,"Fatal Crash","Taranaki Region","07","New Plymouth District","033",5
"317",2019,"Fatal Crash","Taranaki Region","07","South Taranaki District","035",6
"318",2019,"Fatal Crash","Taranaki Region","07","Stratford District","034",1
"319",2019,"Fatal Crash","Tasman Region","16","Tasman District","051",6
"320",2019,"Fatal Crash","Waikato Region","03","Hamilton City","016",2
"321",2019,"Fatal Crash","Waikato Region","03","Hauraki District","012",3
"322",2019,"Fatal Crash","Waikato Region","03","Matamata-Piako District","015",7
"323",2019,"Fatal Crash","Waikato Region","03","Rotorua District","024",4
"324",2019,"Fatal Crash","Waikato Region","03","South Waikato District","019",7
"325",2019,"Fatal Crash","Waikato Region","03","Taupo District","021",7
"326",2019,"Fatal Crash","Waikato Region","03","Thames-Coromandel District","011",2
"327",2019,"Fatal Crash","Waikato Region","03","Waikato District","013",7
"328",2019,"Fatal Crash","Waikato Region","03","Waipa District","017",3
"329",2019,"Fatal Crash","Waikato Region","03","Waitomo District","020",5
"330",2019,"Fatal Crash","Waikato Region","03","Ōtorohanga District","018",2
"331",2019,"Fatal Crash","Wellington Region","09","Carterton District","049",1
"332",2019,"Fatal Crash","Wellington Region","09","Masterton District","048",2
"333",2019,"Fatal Crash","Wellington Region","09","Porirua City","044",1
"334",2019,"Fatal Crash","Wellington Region","09","South Wairarapa District","050",1
"335",2019,"Fatal Crash","Wellington Region","09","Upper Hutt City","045",2
"336",2019,"Fatal Crash","Wellington Region","09","Wellington City","047",1
"337",2019,"Fatal Crash","West Coast Region","12","Grey District","056",1
"338",2019,"Minor Crash","Area Outside Region","99","Chatham Islands Territory","067",4
"339",2019,"Minor Crash","Auckland Region","02","Auckland","076",1973
"340",2019,"Minor Crash","Bay of Plenty Region","04","Kawerau District","026",7
"341",2019,"Minor Crash","Bay of Plenty Region","04","Rotorua District","024",100
"342",2019,"Minor Crash","Bay of Plenty Region","04","Taupo District","021",2
"343",2019,"Minor Crash","Bay of Plenty Region","04","Tauranga City","023",147
"344",2019,"Minor Crash","Bay of Plenty Region","04","Western Bay of Plenty District","022",63
"345",2019,"Minor Crash","Bay of Plenty Region","04","Whakatane District","025",66
"346",2019,"Minor Crash","Bay of Plenty Region","04","Ōpōtiki District","027",22
"347",2019,"Minor Crash","Canterbury Region","13","Ashburton District","063",46
"348",2019,"Minor Crash","Canterbury Region","13","Christchurch City","060",364
"349",2019,"Minor Crash","Canterbury Region","13","Hurunui District","058",38
"350",2019,"Minor Crash","Canterbury Region","13","Kaikoura District","054",16
"351",2019,"Minor Crash","Canterbury Region","13","Mackenzie District","065",18
"352",2019,"Minor Crash","Canterbury Region","13","Selwyn District","062",44
"353",2019,"Minor Crash","Canterbury Region","13","Timaru District","064",60
"354",2019,"Minor Crash","Canterbury Region","13","Waimakariri District","059",36
"355",2019,"Minor Crash","Canterbury Region","13","Waimate District","066",14
"356",2019,"Minor Crash","Canterbury Region","13","Waitaki District","068",3
"357",2019,"Minor Crash","Gisborne Region","05","Gisborne District","028",107
"358",2019,"Minor Crash","Hawke's Bay Region","06","Central Hawke's Bay District","032",30
"359",2019,"Minor Crash","Hawke's Bay Region","06","Hastings District","030",153
"360",2019,"Minor Crash","Hawke's Bay Region","06","Napier City","031",104
"361",2019,"Minor Crash","Hawke's Bay Region","06","Taupo District","021",6
"362",2019,"Minor Crash","Hawke's Bay Region","06","Wairoa District","029",22
"363",2019,"Minor Crash","Manawatū-Whanganui Region","08","Horowhenua District","042",53
"364",2019,"Minor Crash","Manawatū-Whanganui Region","08","Manawatu District","039",69
"365",2019,"Minor Crash","Manawatū-Whanganui Region","08","Palmerston North City","040",106
"366",2019,"Minor Crash","Manawatū-Whanganui Region","08","Rangitikei District","038",45
"367",2019,"Minor Crash","Manawatū-Whanganui Region","08","Ruapehu District","036",44
"368",2019,"Minor Crash","Manawatū-Whanganui Region","08","Tararua District","041",45
"369",2019,"Minor Crash","Manawatū-Whanganui Region","08","Whanganui District","037",86
"370",2019,"Minor Crash","Marlborough Region","18","Marlborough District","053",72
"371",2019,"Minor Crash","Nelson Region","17","Nelson City","052",74
"372",2019,"Minor Crash","Northland Region","01","Far North District","001",156
"373",2019,"Minor Crash","Northland Region","01","Kaipara District","003",44
"374",2019,"Minor Crash","Northland Region","01","Whangarei District","002",106
"375",2019,"Minor Crash","Otago Region","14","Central Otago District","069",27
"376",2019,"Minor Crash","Otago Region","14","Clutha District","072",61
"377",2019,"Minor Crash","Otago Region","14","Dunedin City","071",202
"378",2019,"Minor Crash","Otago Region","14","Queenstown-Lakes District","070",35
"379",2019,"Minor Crash","Otago Region","14","Waitaki District","068",51
"380",2019,"Minor Crash","Southland Region","15","Gore District","074",22
"381",2019,"Minor Crash","Southland Region","15","Invercargill City","075",111
"382",2019,"Minor Crash","Southland Region","15","Southland District","073",74
"383",2019,"Minor Crash","Taranaki Region","07","New Plymouth District","033",135
"384",2019,"Minor Crash","Taranaki Region","07","South Taranaki District","035",44
"385",2019,"Minor Crash","Taranaki Region","07","Stratford District","034",25
"386",2019,"Minor Crash","Tasman Region","16","Tasman District","051",69
"387",2019,"Minor Crash","Waikato Region","03","Hamilton City","016",236
"388",2019,"Minor Crash","Waikato Region","03","Hauraki District","012",53
"389",2019,"Minor Crash","Waikato Region","03","Matamata-Piako District","015",96
"390",2019,"Minor Crash","Waikato Region","03","Rotorua District","024",18
"391",2019,"Minor Crash","Waikato Region","03","South Waikato District","019",75
"392",2019,"Minor Crash","Waikato Region","03","Taupo District","021",99
"393",2019,"Minor Crash","Waikato Region","03","Thames-Coromandel District","011",41
"394",2019,"Minor Crash","Waikato Region","03","Waikato District","013",167
"395",2019,"Minor Crash","Waikato Region","03","Waipa District","017",88
"396",2019,"Minor Crash","Waikato Region","03","Waitomo District","020",36
"397",2019,"Minor Crash","Waikato Region","03","Ōtorohanga District","018",37
"398",2019,"Minor Crash","Wellington Region","09","Carterton District","049",12
"399",2019,"Minor Crash","Wellington Region","09","Kapiti Coast District","043",52
"400",2019,"Minor Crash","Wellington Region","09","Lower Hutt City","046",160
"401",2019,"Minor Crash","Wellington Region","09","Masterton District","048",45
"402",2019,"Minor Crash","Wellington Region","09","Porirua City","044",87
"403",2019,"Minor Crash","Wellington Region","09","South Wairarapa District","050",18
"404",2019,"Minor Crash","Wellington Region","09","Upper Hutt City","045",51
"405",2019,"Minor Crash","Wellington Region","09","Wellington City","047",241
"406",2019,"Minor Crash","West Coast Region","12","Buller District","055",30
"407",2019,"Minor Crash","West Coast Region","12","Grey District","056",28
"408",2019,"Minor Crash","West Coast Region","12","Westland District","057",14
"409",2019,"Non-Injury Crash","Area Outside Region","99","Chatham Islands Territory","067",4
"410",2019,"Non-Injury Crash","Auckland Region","02","Auckland","076",5444
"411",2019,"Non-Injury Crash","Bay of Plenty Region","04","Kawerau District","026",10
"412",2019,"Non-Injury Crash","Bay of Plenty Region","04","Rotorua District","024",284
"413",2019,"Non-Injury Crash","Bay of Plenty Region","04","Taupo District","021",3
"414",2019,"Non-Injury Crash","Bay of Plenty Region","04","Tauranga City","023",484
"415",2019,"Non-Injury Crash","Bay of Plenty Region","04","Western Bay of Plenty District","022",167
"416",2019,"Non-Injury Crash","Bay of Plenty Region","04","Whakatane District","025",140
"417",2019,"Non-Injury Crash","Bay of Plenty Region","04","Ōpōtiki District","027",29
"418",2019,"Non-Injury Crash","Canterbury Region","13","Ashburton District","063",86
"419",2019,"Non-Injury Crash","Canterbury Region","13","Christchurch City","060",809
"420",2019,"Non-Injury Crash","Canterbury Region","13","Hurunui District","058",68
"421",2019,"Non-Injury Crash","Canterbury Region","13","Kaikoura District","054",34
"422",2019,"Non-Injury Crash","Canterbury Region","13","Mackenzie District","065",50
"423",2019,"Non-Injury Crash","Canterbury Region","13","Selwyn District","062",111
"424",2019,"Non-Injury Crash","Canterbury Region","13","Timaru District","064",153
"425",2019,"Non-Injury Crash","Canterbury Region","13","Waimakariri District","059",80
"426",2019,"Non-Injury Crash","Canterbury Region","13","Waimate District","066",37
"427",2019,"Non-Injury Crash","Canterbury Region","13","Waitaki District","068",19
"428",2019,"Non-Injury Crash","Gisborne Region","05","Gisborne District","028",264
"429",2019,"Non-Injury Crash","Hawke's Bay Region","06","Central Hawke's Bay District","032",62
"430",2019,"Non-Injury Crash","Hawke's Bay Region","06","Hastings District","030",410
"431",2019,"Non-Injury Crash","Hawke's Bay Region","06","Napier City","031",285
"432",2019,"Non-Injury Crash","Hawke's Bay Region","06","Taupo District","021",5
"433",2019,"Non-Injury Crash","Hawke's Bay Region","06","Wairoa District","029",56
"434",2019,"Non-Injury Crash","Manawatū-Whanganui Region","08","Horowhenua District","042",158
"435",2019,"Non-Injury Crash","Manawatū-Whanganui Region","08","Manawatu District","039",152
"436",2019,"Non-Injury Crash","Manawatū-Whanganui Region","08","Palmerston North City","040",432
"437",2019,"Non-Injury Crash","Manawatū-Whanganui Region","08","Rangitikei District","038",76
"438",2019,"Non-Injury Crash","Manawatū-Whanganui Region","08","Ruapehu District","036",99
"439",2019,"Non-Injury Crash","Manawatū-Whanganui Region","08","Tararua District","041",103
"440",2019,"Non-Injury Crash","Manawatū-Whanganui Region","08","Waitomo District","020",2
"441",2019,"Non-Injury Crash","Manawatū-Whanganui Region","08","Whanganui District","037",227
"442",2019,"Non-Injury Crash","Marlborough Region","18","Marlborough District","053",259
"443",2019,"Non-Injury Crash","Nelson Region","17","Nelson City","052",193
"444",2019,"Non-Injury Crash","Northland Region","01","Far North District","001",325
"445",2019,"Non-Injury Crash","Northland Region","01","Kaipara District","003",96
"446",2019,"Non-Injury Crash","Northland Region","01","Whangarei District","002",379
"447",2019,"Non-Injury Crash","Otago Region","14","Central Otago District","069",82
"448",2019,"Non-Injury Crash","Otago Region","14","Clutha District","072",132
"449",2019,"Non-Injury Crash","Otago Region","14","Dunedin City","071",576
"450",2019,"Non-Injury Crash","Otago Region","14","Queenstown-Lakes District","070",148
"451",2019,"Non-Injury Crash","Otago Region","14","Waitaki District","068",102
"452",2019,"Non-Injury Crash","Southland Region","15","Gore District","074",63
"453",2019,"Non-Injury Crash","Southland Region","15","Invercargill City","075",288
"454",2019,"Non-Injury Crash","Southland Region","15","Southland District","073",190
"455",2019,"Non-Injury Crash","Taranaki Region","07","New Plymouth District","033",307
"456",2019,"Non-Injury Crash","Taranaki Region","07","South Taranaki District","035",112
"457",2019,"Non-Injury Crash","Taranaki Region","07","Stratford District","034",54
"458",2019,"Non-Injury Crash","Tasman Region","16","Tasman District","051",179
"459",2019,"Non-Injury Crash","Waikato Region","03","Hamilton City","016",818
"460",2019,"Non-Injury Crash","Waikato Region","03","Hauraki District","012",151
"461",2019,"Non-Injury Crash","Waikato Region","03","Matamata-Piako District","015",195
"462",2019,"Non-Injury Crash","Waikato Region","03","Rotorua District","024",27
"463",2019,"Non-Injury Crash","Waikato Region","03","South Waikato District","019",168
"464",2019,"Non-Injury Crash","Waikato Region","03","Taupo District","021",218
"465",2019,"Non-Injury Crash","Waikato Region","03","Thames-Coromandel District","011",113
"466",2019,"Non-Injury Crash","Waikato Region","03","Waikato District","013",374
"467",2019,"Non-Injury Crash","Waikato Region","03","Waipa District","017",180
"468",2019,"Non-Injury Crash","Waikato Region","03","Waitomo District","020",87
"469",2019,"Non-Injury Crash","Waikato Region","03","Ōtorohanga District","018",54
"470",2019,"Non-Injury Crash","Wellington Region","09","Carterton District","049",37
"471",2019,"Non-Injury Crash","Wellington Region","09","Kapiti Coast District","043",124
"472",2019,"Non-Injury Crash","Wellington Region","09","Lower Hutt City","046",483
"473",2019,"Non-Injury Crash","Wellington Region","09","Masterton District","048",104
"474",2019,"Non-Injury Crash","Wellington Region","09","Porirua City","044",296
"475",2019,"Non-Injury Crash","Wellington Region","09","South Wairarapa District","050",34
"476",2019,"Non-Injury Crash","Wellington Region","09","Upper Hutt City","045",114
"477",2019,"Non-Injury Crash","Wellington Region","09","Wellington City","047",783
"478",2019,"Non-Injury Crash","West Coast Region","12","Buller District","055",64
"479",2019,"Non-Injury Crash","West Coast Region","12","Grey District","056",46
"480",2019,"Non-Injury Crash","West Coast Region","12","Westland District","057",45
"481",2019,"Serious Crash","Auckland Region","02","Auckland","076",347
"482",2019,"Serious Crash","Bay of Plenty Region","04","Rotorua District","024",26
"483",2019,"Serious Crash","Bay of Plenty Region","04","Tauranga City","023",26
"484",2019,"Serious Crash","Bay of Plenty Region","04","Western Bay of Plenty District","022",26
"485",2019,"Serious Crash","Bay of Plenty Region","04","Whakatane District","025",19
"486",2019,"Serious Crash","Bay of Plenty Region","04","Ōpōtiki District","027",7
"487",2019,"Serious Crash","Canterbury Region","13","Ashburton District","063",7
"488",2019,"Serious Crash","Canterbury Region","13","Christchurch City","060",92
"489",2019,"Serious Crash","Canterbury Region","13","Hurunui District","058",16
"490",2019,"Serious Crash","Canterbury Region","13","Kaikoura District","054",3
"491",2019,"Serious Crash","Canterbury Region","13","Mackenzie District","065",5
"492",2019,"Serious Crash","Canterbury Region","13","Selwyn District","062",14
"493",2019,"Serious Crash","Canterbury Region","13","Timaru District","064",20
"494",2019,"Serious Crash","Canterbury Region","13","Waimakariri District","059",10
"495",2019,"Serious Crash","Canterbury Region","13","Waimate District","066",11
"496",2019,"Serious Crash","Canterbury Region","13","Waitaki District","068",1
"497",2019,"Serious Crash","Gisborne Region","05","Gisborne District","028",40
"498",2019,"Serious Crash","Hawke's Bay Region","06","Central Hawke's Bay District","032",8
"499",2019,"Serious Crash","Hawke's Bay Region","06","Hastings District","030",41
"500",2019,"Serious Crash","Hawke's Bay Region","06","Napier City","031",12
"501",2019,"Serious Crash","Hawke's Bay Region","06","Taupo District","021",1
"502",2019,"Serious Crash","Hawke's Bay Region","06","Wairoa District","029",6
"503",2019,"Serious Crash","Manawatū-Whanganui Region","08","Horowhenua District","042",14
"504",2019,"Serious Crash","Manawatū-Whanganui Region","08","Manawatu District","039",21
"505",2019,"Serious Crash","Manawatū-Whanganui Region","08","Palmerston North City","040",28
"506",2019,"Serious Crash","Manawatū-Whanganui Region","08","Rangitikei District","038",20
"507",2019,"Serious Crash","Manawatū-Whanganui Region","08","Ruapehu District","036",10
"508",2019,"Serious Crash","Manawatū-Whanganui Region","08","Tararua District","041",15
"509",2019,"Serious Crash","Manawatū-Whanganui Region","08","Whanganui District","037",21
"510",2019,"Serious Crash","Marlborough Region","18","Marlborough District","053",11
"511",2019,"Serious Crash","Nelson Region","17","Nelson City","052",12
"512",2019,"Serious Crash","Northland Region","01","Far North District","001",48
"513",2019,"Serious Crash","Northland Region","01","Kaipara District","003",16
"514",2019,"Serious Crash","Northland Region","01","Whangarei District","002",31
"515",2019,"Serious Crash","Otago Region","14","Central Otago District","069",4
"516",2019,"Serious Crash","Otago Region","14","Clutha District","072",11
"517",2019,"Serious Crash","Otago Region","14","Dunedin City","071",59
"518",2019,"Serious Crash","Otago Region","14","Queenstown-Lakes District","070",10
"519",2019,"Serious Crash","Otago Region","14","Waitaki District","068",14
"520",2019,"Serious Crash","Southland Region","15","Gore District","074",7
"521",2019,"Serious Crash","Southland Region","15","Invercargill City","075",21
"522",2019,"Serious Crash","Southland Region","15","Southland District","073",27
"523",2019,"Serious Crash","Taranaki Region","07","New Plymouth District","033",37
"524",2019,"Serious Crash","Taranaki Region","07","South Taranaki District","035",22
"525",2019,"Serious Crash","Taranaki Region","07","Stratford District","034",11
"526",2019,"Serious Crash","Tasman Region","16","Tasman District","051",22
"527",2019,"Serious Crash","Waikato Region","03","Hamilton City","016",37
"528",2019,"Serious Crash","Waikato Region","03","Hauraki District","012",13
"529",2019,"Serious Crash","Waikato Region","03","Matamata-Piako District","015",20
"530",2019,"Serious Crash","Waikato Region","03","Rotorua District","024",3
"531",2019,"Serious Crash","Waikato Region","03","South Waikato District","019",19
"532",2019,"Serious Crash","Waikato Region","03","Taupo District","021",25
"533",2019,"Serious Crash","Waikato Region","03","Thames-Coromandel District","011",13
"534",2019,"Serious Crash","Waikato Region","03","Waikato District","013",50
"535",2019,"Serious Crash","Waikato Region","03","Waipa District","017",13
"536",2019,"Serious Crash","Waikato Region","03","Waitomo District","020",15
"537",2019,"Serious Crash","Waikato Region","03","Ōtorohanga District","018",15
"538",2019,"Serious Crash","Wellington Region","09","Carterton District","049",6
"539",2019,"Serious Crash","Wellington Region","09","Kapiti Coast District","043",10
"540",2019,"Serious Crash","Wellington Region","09","Lower Hutt City","046",24
"541",2019,"Serious Crash","Wellington Region","09","Masterton District","048",13
"542",2019,"Serious Crash","Wellington Region","09","Porirua City","044",12
"543",2019,"Serious Crash","Wellington Region","09","Upper Hutt City","045",4
"544",2019,"Serious Crash","Wellington Region","09","Wellington City","047",54
"545",2019,"Serious Crash","West Coast Region","12","Buller District","055",7
"546",2019,"Serious Crash","West Coast Region","12","Grey District","056",5
"547",2019,"Serious Crash","West Coast Region","12","Westland District","057",1
"548",2020,"Fatal Crash","Auckland Region","02","Auckland","076",21
"549",2020,"Fatal Crash","Bay of Plenty Region","04","Rotorua District","024",4
"550",2020,"Fatal Crash","Bay of Plenty Region","04","Taupo District","021",1
"551",2020,"Fatal Crash","Bay of Plenty Region","04","Tauranga City","023",5
"552",2020,"Fatal Crash","Bay of Plenty Region","04","Western Bay of Plenty District","022",8
"553",2020,"Fatal Crash","Bay of Plenty Region","04","Whakatane District","025",3
"554",2020,"Fatal Crash","Bay of Plenty Region","04","Ōpōtiki District","027",1
"555",2020,"Fatal Crash","Canterbury Region","13","Ashburton District","063",2
"556",2020,"Fatal Crash","Canterbury Region","13","Christchurch City","060",7
"557",2020,"Fatal Crash","Canterbury Region","13","Hurunui District","058",4
"558",2020,"Fatal Crash","Canterbury Region","13","Mackenzie District","065",2
"559",2020,"Fatal Crash","Canterbury Region","13","Selwyn District","062",3
"560",2020,"Fatal Crash","Canterbury Region","13","Timaru District","064",1
"561",2020,"Fatal Crash","Canterbury Region","13","Waimakariri District","059",3
"562",2020,"Fatal Crash","Gisborne Region","05","Gisborne District","028",8
"563",2020,"Fatal Crash","Hawke's Bay Region","06","Central Hawke's Bay District","032",3
"564",2020,"Fatal Crash","Hawke's Bay Region","06","Hastings District","030",8
"565",2020,"Fatal Crash","Hawke's Bay Region","06","Napier City","031",5
"566",2020,"Fatal Crash","Hawke's Bay Region","06","Wairoa District","029",1
"567",2020,"Fatal Crash","Manawatū-Whanganui Region","08","Horowhenua District","042",5
"568",2020,"Fatal Crash","Manawatū-Whanganui Region","08","Manawatu District","039",4
"569",2020,"Fatal Crash","Manawatū-Whanganui Region","08","Palmerston North City","040",5
"570",2020,"Fatal Crash","Manawatū-Whanganui Region","08","Rangitikei District","038",1
"571",2020,"Fatal Crash","Manawatū-Whanganui Region","08","Ruapehu District","036",3
"572",2020,"Fatal Crash","Manawatū-Whanganui Region","08","Tararua District","041",4
"573",2020,"Fatal Crash","Manawatū-Whanganui Region","08","Whanganui District","037",5
"574",2020,"Fatal Crash","Marlborough Region","18","Marlborough District","053",5
"575",2020,"Fatal Crash","Nelson Region","17","Nelson City","052",3
"576",2020,"Fatal Crash","Northland Region","01","Far North District","001",11
"577",2020,"Fatal Crash","Northland Region","01","Kaipara District","003",1
"578",2020,"Fatal Crash","Northland Region","01","Whangarei District","002",6
"579",2020,"Fatal Crash","Otago Region","14","Central Otago District","069",4
"580",2020,"Fatal Crash","Otago Region","14","Clutha District","072",2
"581",2020,"Fatal Crash","Otago Region","14","Dunedin City","071",4
"582",2020,"Fatal Crash","Otago Region","14","Queenstown-Lakes District","070",2
"583",2020,"Fatal Crash","Otago Region","14","Waitaki District","068",5
"584",2020,"Fatal Crash","Southland Region","15","Gore District","074",1
"585",2020,"Fatal Crash","Southland Region","15","Invercargill City","075",4
"586",2020,"Fatal Crash","Southland Region","15","Southland District","073",5
"587",2020,"Fatal Crash","Taranaki Region","07","New Plymouth District","033",4
"588",2020,"Fatal Crash","Taranaki Region","07","South Taranaki District","035",4
"589",2020,"Fatal Crash","Taranaki Region","07","Stratford District","034",1
"590",2020,"Fatal Crash","Tasman Region","16","Tasman District","051",2
"591",2020,"Fatal Crash","Waikato Region","03","Hamilton City","016",5
"592",2020,"Fatal Crash","Waikato Region","03","Hauraki District","012",8
"593",2020,"Fatal Crash","Waikato Region","03","Matamata-Piako District","015",7
"594",2020,"Fatal Crash","Waikato Region","03","South Waikato District","019",6
"595",2020,"Fatal Crash","Waikato Region","03","Taupo District","021",5
"596",2020,"Fatal Crash","Waikato Region","03","Thames-Coromandel District","011",4
"597",2020,"Fatal Crash","Waikato Region","03","Waikato District","013",5
"598",2020,"Fatal Crash","Waikato Region","03","Waipa District","017",4
"599",2020,"Fatal Crash","Waikato Region","03","Waitomo District","020",2
"600",2020,"Fatal Crash","Waikato Region","03","Ōtorohanga District","018",1
"601",2020,"Fatal Crash","Wellington Region","09","Carterton District","049",2
"602",2020,"Fatal Crash","Wellington Region","09","Lower Hutt City","046",2
"603",2020,"Fatal Crash","Wellington Region","09","Masterton District","048",2
"604",2020,"Fatal Crash","Wellington Region","09","Upper Hutt City","045",3
