"","crashYear","crashSever","regname","regid","taname","taid","crashcnt"
"1485",2023,"Serious Crash","Bay of Plenty Region","04","Rotorua District","024",11
"1486",2023,"Serious Crash","Bay of Plenty Region","04","Tauranga City","023",9
"1487",2023,"Serious Crash","Bay of Plenty Region","04","Western Bay of Plenty District","022",8
"1488",2023,"Serious Crash","Bay of Plenty Region","04","Whakatane District","025",9
"1489",2023,"Serious Crash","Bay of Plenty Region","04","Ōpōtiki District","027",3
"1490",2023,"Serious Crash","Canterbury Region","13","Ashburton District","063",11
"1491",2023,"Serious Crash","Canterbury Region","13","Christchurch City","060",37
"1492",2023,"Serious Crash","Canterbury Region","13","Hurunui District","058",4
"1493",2023,"Serious Crash","Canterbury Region","13","Kaikoura District","054",3
"1494",2023,"Serious Crash","Canterbury Region","13","Mackenzie District","065",3
"1495",2023,"Serious Crash","Canterbury Region","13","Selwyn District","062",5
"1496",2023,"Serious Crash","Canterbury Region","13","Timaru District","064",10
"1497",2023,"Serious Crash","Canterbury Region","13","Waimakariri District","059",8
"1498",2023,"Serious Crash","Canterbury Region","13","Waimate District","066",3
"1499",2023,"Serious Crash","Canterbury Region","13","Waitaki District","068",1
"1500",2023,"Serious Crash","Gisborne Region","05","Gisborne District","028",5
"1501",2023,"Serious Crash","Hawke's Bay Region","06","Central Hawke's Bay District","032",1
"1502",2023,"Serious Crash","Hawke's Bay Region","06","Hastings District","030",15
"1503",2023,"Serious Crash","Hawke's Bay Region","06","Napier City","031",15
"1504",2023,"Serious Crash","Hawke's Bay Region","06","Wairoa District","029",3
"1505",2023,"Serious Crash","Manawatū-Whanganui Region","08","Horowhenua District","042",3
"1506",2023,"Serious Crash","Manawatū-Whanganui Region","08","Manawatu District","039",6
"1507",2023,"Serious Crash","Manawatū-Whanganui Region","08","Palmerston North City","040",17
"1508",2023,"Serious Crash","Manawatū-Whanganui Region","08","Rangitikei District","038",4
"1509",2023,"Serious Crash","Manawatū-Whanganui Region","08","Ruapehu District","036",9
"1510",2023,"Serious Crash","Manawatū-Whanganui Region","08","Tararua District","041",3
"1511",2023,"Serious Crash","Manawatū-Whanganui Region","08","Whanganui District","037",11
"1512",2023,"Serious Crash","Marlborough Region","18","Marlborough District","053",10
"1513",2023,"Serious Crash","Nelson Region","17","Nelson City","052",4
"1514",2023,"Serious Crash","Northland Region","01","Far North District","001",25
"1515",2023,"Serious Crash","Northland Region","01","Kaipara District","003",12
"1516",2023,"Serious Crash","Northland Region","01","Whangarei District","002",12
"1517",2023,"Serious Crash","Otago Region","14","Central Otago District","069",4
"1518",2023,"Serious Crash","Otago Region","14","Clutha District","072",7
"1519",2023,"Serious Crash","Otago Region","14","Dunedin City","071",19
"1520",2023,"Serious Crash","Otago Region","14","Queenstown-Lakes District","070",5
"1521",2023,"Serious Crash","Otago Region","14","Waitaki District","068",3
"1522",2023,"Serious Crash","Southland Region","15","Gore District","074",3
"1523",2023,"Serious Crash","Southland Region","15","Invercargill City","075",6
"1524",2023,"Serious Crash","Southland Region","15","Southland District","073",9
"1525",2023,"Serious Crash","Taranaki Region","07","New Plymouth District","033",9
"1526",2023,"Serious Crash","Taranaki Region","07","South Taranaki District","035",11
"1527",2023,"Serious Crash","Taranaki Region","07","Stratford District","034",1
"1528",2023,"Serious Crash","Tasman Region","16","Tasman District","051",8
"1529",2023,"Serious Crash","Waikato Region","03","Hamilton City","016",11
"1530",2023,"Serious Crash","Waikato Region","03","Hauraki District","012",8
"1531",2023,"Serious Crash","Waikato Region","03","Matamata-Piako District","015",16
"1532",2023,"Serious Crash","Waikato Region","03","Rotorua District","024",2
"1533",2023,"Serious Crash","Waikato Region","03","South Waikato District","019",8
"1534",2023,"Serious Crash","Waikato Region","03","Taupo District","021",5
"1535",2023,"Serious Crash","Waikato Region","03","Thames-Coromandel District","011",4
"1536",2023,"Serious Crash","Waikato Region","03","Waikato District","013",18
"1537",2023,"Serious Crash","Waikato Region","03","Waipa District","017",7
"1538",2023,"Serious Crash","Waikato Region","03","Waitomo District","020",7
"1539",2023,"Serious Crash","Waikato Region","03","Ōtorohanga District","018",3
"1540",2023,"Serious Crash","Wellington Region","09","Carterton District","049",2
"1541",2023,"Serious Crash","Wellington Region","09","Kapiti Coast District","043",2
"1542",2023,"Serious Crash","Wellington Region","09","Lower Hutt City","046",11
"1543",2023,"Serious Crash","Wellington Region","09","Masterton District","048",3
"1544",2023,"Serious Crash","Wellington Region","09","Porirua City","044",8
"1545",2023,"Serious Crash","Wellington Region","09","South Wairarapa District","050",2
"1546",2023,"Serious Crash","Wellington Region","09","Upper Hutt City","045",3
"1547",2023,"Serious Crash","Wellington Region","09","Wellington City","047",15
"1548",2023,"Serious Crash","West Coast Region","12","Buller District","055",9
"1549",2023,"Serious Crash","West Coast Region","12","Grey District","056",1
"1550",2023,"Serious Crash","West Coast Region","12","Westland District","057",2
